ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93101,10,2013,Elec- Commercial,Y,0,0,
93101,10,2013,Elec- Residential,Y,0,0,
93105,10,2013,Elec- Commercial,Y,0,0,
93105,10,2013,Elec- Residential,Y,0,0,
93110,10,2013,Elec- Commercial,Y,0,0,
93110,10,2013,Elec- Residential,Y,0,0,
93111,10,2013,Elec- Residential,Y,0,0,
93117,10,2013,Elec- Commercial,Y,0,0,
93117,10,2013,Elec- Residential,Y,0,0,
93201,10,2013,Elec- Residential,N,310,"155,096",500
93202,10,2013,Elec- Agricultural,Y,0,0,
93203,10,2013,Elec- Agricultural,Y,0,0,
93203,10,2013,Elec- Commercial,Y,0,0,
93203,10,2013,Elec- Industrial,Y,0,0,
93203,10,2013,Elec- Residential,Y,"4,449","1,920,391",432
93204,10,2013,Elec- Agricultural,Y,0,0,
93204,10,2013,Elec- Commercial,Y,220,"1,540,035","7,000"
93204,10,2013,Elec- Industrial,Y,0,0,
93204,10,2013,Elec- Residential,N,"2,250","947,780",421
93206,10,2013,Elec- Agricultural,Y,0,0,
93206,10,2013,Elec- Commercial,Y,0,0,
93206,10,2013,Elec- Industrial,Y,0,0,
93206,10,2013,Elec- Residential,N,520,"306,437",589
93210,10,2013,Elec- Agricultural,Y,0,0,
93210,10,2013,Elec- Commercial,N,352,"2,969,442","8,436"
93210,10,2013,Elec- Industrial,Y,0,0,
93210,10,2013,Elec- Residential,N,"4,123","2,038,765",494
93212,10,2013,Elec- Agricultural,Y,0,0,
93212,10,2013,Elec- Commercial,Y,260,"1,591,247","6,120"
93212,10,2013,Elec- Industrial,Y,0,0,
93212,10,2013,Elec- Residential,Y,"4,181","2,067,726",495
93215,10,2013,Elec- Agricultural,Y,0,0,
93219,10,2013,Elec- Agricultural,Y,0,0,
93219,10,2013,Elec- Commercial,Y,0,0,
93219,10,2013,Elec- Residential,Y,128,"68,792",537
93224,10,2013,Elec- Commercial,Y,0,0,
93224,10,2013,Elec- Industrial,Y,0,0,
93224,10,2013,Elec- Residential,Y,225,"130,695",581
93225,10,2013,Elec- Agricultural,Y,0,0,
93230,10,2013,Elec- Agricultural,Y,0,0,
93230,10,2013,Elec- Commercial,Y,0,0,
93230,10,2013,Elec- Industrial,Y,0,0,
93230,10,2013,Elec- Residential,N,907,"708,477",781
93234,10,2013,Elec- Agricultural,Y,0,0,
93234,10,2013,Elec- Commercial,Y,0,0,
93234,10,2013,Elec- Industrial,Y,0,0,
93234,10,2013,Elec- Residential,N,"1,434","600,002",418
93239,10,2013,Elec- Agricultural,Y,0,0,
93239,10,2013,Elec- Commercial,Y,0,0,
93239,10,2013,Elec- Residential,N,376,"166,690",443
93240,10,2013,Elec- Residential,Y,0,0,
93241,10,2013,Elec- Agricultural,Y,0,0,
93241,10,2013,Elec- Commercial,Y,0,0,
93241,10,2013,Elec- Residential,N,"3,396","1,425,086",420
93242,10,2013,Elec- Agricultural,N,191,"1,219,639","6,386"
93242,10,2013,Elec- Commercial,Y,0,0,
93242,10,2013,Elec- Residential,N,977,"605,108",619
93243,10,2013,Elec- Agricultural,Y,0,0,
93243,10,2013,Elec- Commercial,Y,0,0,
93243,10,2013,Elec- Industrial,Y,0,0,
93243,10,2013,Elec- Residential,N,432,"203,646",471
93245,10,2013,Elec- Agricultural,Y,0,0,
93245,10,2013,Elec- Commercial,Y,898,"5,903,326","6,574"
93245,10,2013,Elec- Industrial,Y,0,0,
93245,10,2013,Elec- Residential,N,"9,904","5,726,843",578
93249,10,2013,Elec- Agricultural,Y,0,0,
93249,10,2013,Elec- Commercial,Y,0,0,
93249,10,2013,Elec- Industrial,Y,0,0,
93249,10,2013,Elec- Residential,N,515,"227,661",442
93250,10,2013,Elec- Agricultural,Y,0,0,
93250,10,2013,Elec- Commercial,Y,0,0,
93250,10,2013,Elec- Industrial,Y,0,0,
93250,10,2013,Elec- Residential,N,"2,183","996,001",456
93251,10,2013,Elec- Agricultural,Y,0,0,
93251,10,2013,Elec- Commercial,Y,0,0,
93251,10,2013,Elec- Industrial,Y,0,0,
93251,10,2013,Elec- Residential,Y,0,0,
93252,10,2013,Elec- Agricultural,Y,0,0,
93252,10,2013,Elec- Commercial,Y,0,0,
93252,10,2013,Elec- Industrial,Y,0,0,
93252,10,2013,Elec- Residential,N,545,"282,277",518
93254,10,2013,Elec- Agricultural,Y,0,0,
93254,10,2013,Elec- Commercial,Y,0,0,
93254,10,2013,Elec- Residential,N,299,"159,577",534
93256,10,2013,Elec- Agricultural,Y,0,0,
93256,10,2013,Elec- Commercial,Y,0,0,
93256,10,2013,Elec- Residential,Y,0,0,
93262,10,2013,Elec- Commercial,Y,0,0,
93263,10,2013,Elec- Agricultural,Y,0,0,
93263,10,2013,Elec- Commercial,Y,"1,406","16,044,837","11,412"
93263,10,2013,Elec- Industrial,Y,0,0,
93263,10,2013,Elec- Residential,N,"5,327","2,595,514",487
93266,10,2013,Elec- Agricultural,Y,0,0,
93266,10,2013,Elec- Commercial,Y,0,0,
93266,10,2013,Elec- Residential,N,382,"208,872",547
93268,10,2013,Elec- Agricultural,Y,0,0,
93268,10,2013,Elec- Commercial,Y,560,"8,491,796","15,164"
93268,10,2013,Elec- Industrial,Y,0,0,
93268,10,2013,Elec- Residential,N,"5,462","2,657,335",487
93272,10,2013,Elec- Agricultural,Y,0,0,
93272,10,2013,Elec- Commercial,Y,0,0,
93274,10,2013,Elec- Agricultural,Y,0,0,
93274,10,2013,Elec- Commercial,Y,0,0,
93274,10,2013,Elec- Residential,Y,0,0,
93276,10,2013,Elec- Agricultural,Y,0,0,
93276,10,2013,Elec- Commercial,Y,0,0,
93276,10,2013,Elec- Industrial,Y,0,0,
93276,10,2013,Elec- Residential,Y,0,0,
93277,10,2013,Elec- Agricultural,Y,0,0,
93277,10,2013,Elec- Commercial,Y,0,0,
93277,10,2013,Elec- Residential,Y,0,0,
93280,10,2013,Elec- Agricultural,Y,"1,857","89,906,106","48,415"
93280,10,2013,Elec- Commercial,Y,0,0,
93280,10,2013,Elec- Industrial,Y,0,0,
93280,10,2013,Elec- Residential,N,"5,788","2,547,429",440
93286,10,2013,Elec- Agricultural,Y,0,0,
93286,10,2013,Elec- Commercial,Y,0,0,
93286,10,2013,Elec- Residential,N,351,"229,394",654
93287,10,2013,Elec- Residential,Y,0,0,
93291,10,2013,Elec- Agricultural,Y,0,0,
93291,10,2013,Elec- Commercial,Y,0,0,
93291,10,2013,Elec- Residential,Y,0,0,
93292,10,2013,Elec- Agricultural,Y,0,0,
93292,10,2013,Elec- Commercial,Y,0,0,
93292,10,2013,Elec- Residential,Y,164,"102,149",623
93301,10,2013,Elec- Agricultural,Y,0,0,
93301,10,2013,Elec- Commercial,Y,0,0,
93301,10,2013,Elec- Industrial,Y,0,0,
93301,10,2013,Elec- Residential,N,"5,292","2,229,046",421
93304,10,2013,Elec- Agricultural,Y,0,0,
93304,10,2013,Elec- Commercial,Y,0,0,
93304,10,2013,Elec- Industrial,Y,0,0,
93304,10,2013,Elec- Residential,N,"15,233","6,772,951",445
93305,10,2013,Elec- Agricultural,Y,0,0,
93305,10,2013,Elec- Commercial,Y,0,0,
93305,10,2013,Elec- Industrial,Y,0,0,
93305,10,2013,Elec- Residential,N,"10,441","4,391,478",421
93306,10,2013,Elec- Agricultural,Y,0,0,
93306,10,2013,Elec- Commercial,Y,0,0,
93306,10,2013,Elec- Industrial,Y,0,0,
93306,10,2013,Elec- Residential,Y,"21,051","11,361,146",540
93307,10,2013,Elec- Agricultural,Y,760,"28,731,444","37,805"
93307,10,2013,Elec- Commercial,Y,"2,652","25,634,559","9,666"
93307,10,2013,Elec- Industrial,Y,0,0,
93307,10,2013,Elec- Residential,N,"21,302","9,831,308",462
93308,10,2013,Elec- Agricultural,Y,307,"13,271,051","43,228"
93308,10,2013,Elec- Commercial,Y,"7,484","88,540,134","11,831"
93308,10,2013,Elec- Industrial,Y,71,"127,295,508","1,792,894"
93308,10,2013,Elec- Residential,N,"18,724","10,234,574",547
93309,10,2013,Elec- Agricultural,Y,0,0,
93309,10,2013,Elec- Commercial,Y,0,0,
93309,10,2013,Elec- Residential,N,"22,644","11,478,057",507
93311,10,2013,Elec- Agricultural,Y,0,0,
93311,10,2013,Elec- Commercial,N,445,"8,969,870","20,157"
93311,10,2013,Elec- Industrial,Y,0,0,
93311,10,2013,Elec- Residential,Y,"14,371","8,509,896",592
93312,10,2013,Elec- Agricultural,Y,0,0,
93312,10,2013,Elec- Commercial,Y,0,0,
93312,10,2013,Elec- Residential,N,"18,671","11,724,006",628
93313,10,2013,Elec- Agricultural,Y,0,0,
93313,10,2013,Elec- Commercial,Y,"1,279","14,162,948","11,073"
93313,10,2013,Elec- Industrial,Y,0,0,
93313,10,2013,Elec- Residential,N,"13,035","7,200,083",552
93314,10,2013,Elec- Agricultural,Y,0,0,
93314,10,2013,Elec- Commercial,Y,0,0,
93314,10,2013,Elec- Residential,N,"7,572","5,336,846",705
93401,10,2013,Elec- Agricultural,Y,0,0,
93401,10,2013,Elec- Commercial,N,"2,389","13,124,028","5,494"
93401,10,2013,Elec- Industrial,Y,0,0,
93401,10,2013,Elec- Residential,N,"11,327","4,545,790",401
93402,10,2013,Elec- Agricultural,Y,0,0,
93402,10,2013,Elec- Commercial,Y,0,0,
93402,10,2013,Elec- Residential,N,"5,796","2,357,654",407
93405,10,2013,Elec- Agricultural,Y,0,0,
93405,10,2013,Elec- Commercial,Y,713,"4,706,050","6,600"
93405,10,2013,Elec- Residential,N,"7,796","3,165,447",406
93407,10,2013,Elec- Commercial,Y,0,0,
93420,10,2013,Elec- Agricultural,Y,"1,380","15,191,555","11,008"
93420,10,2013,Elec- Commercial,Y,"1,485","34,558,717","23,272"
93420,10,2013,Elec- Industrial,Y,0,0,
93420,10,2013,Elec- Residential,N,"10,894","5,491,886",504
93422,10,2013,Elec- Agricultural,Y,0,0,
93422,10,2013,Elec- Commercial,Y,"1,647","6,005,085","3,646"
93422,10,2013,Elec- Industrial,Y,0,0,
93422,10,2013,Elec- Residential,N,"11,853","5,920,270",499
93424,10,2013,Elec- Commercial,N,98,"339,749","3,467"
93424,10,2013,Elec- Residential,N,654,"302,528",463
93426,10,2013,Elec- Agricultural,Y,0,0,
93426,10,2013,Elec- Commercial,Y,0,0,
93426,10,2013,Elec- Industrial,Y,0,0,
93426,10,2013,Elec- Residential,N,945,"349,274",370
93427,10,2013,Elec- Agricultural,Y,0,0,
93427,10,2013,Elec- Commercial,Y,0,0,
93427,10,2013,Elec- Residential,N,"1,692","911,145",539
93428,10,2013,Elec- Agricultural,Y,0,0,
93428,10,2013,Elec- Commercial,N,330,"749,135","2,270"
93428,10,2013,Elec- Residential,Y,"3,756","1,360,178",362
93429,10,2013,Elec- Commercial,Y,0,0,
93430,10,2013,Elec- Agricultural,Y,0,0,
93430,10,2013,Elec- Commercial,Y,0,0,
93430,10,2013,Elec- Residential,N,"2,079","743,707",358
93432,10,2013,Elec- Agricultural,Y,0,0,
93432,10,2013,Elec- Commercial,Y,0,0,
93432,10,2013,Elec- Residential,N,649,"419,549",646
93433,10,2013,Elec- Agricultural,Y,0,0,
93433,10,2013,Elec- Commercial,Y,737,"1,783,817","2,420"
93433,10,2013,Elec- Residential,N,"5,298","1,975,652",373
93434,10,2013,Elec- Agricultural,Y,0,0,
93434,10,2013,Elec- Commercial,Y,0,0,
93434,10,2013,Elec- Residential,N,"1,788","621,303",347
93435,10,2013,Elec- Commercial,Y,0,0,
93435,10,2013,Elec- Residential,Y,0,0,
93436,10,2013,Elec- Agricultural,Y,0,0,
93436,10,2013,Elec- Commercial,Y,0,0,
93436,10,2013,Elec- Industrial,Y,0,0,
93436,10,2013,Elec- Residential,Y,"4,298","2,081,458",484
93437,10,2013,Elec- Agricultural,Y,0,0,
93437,10,2013,Elec- Commercial,Y,0,0,
93437,10,2013,Elec- Industrial,Y,0,0,
93437,10,2013,Elec- Residential,Y,0,0,
93440,10,2013,Elec- Agricultural,N,33,"62,353","1,889"
93440,10,2013,Elec- Commercial,N,73,"182,966","2,506"
93440,10,2013,Elec- Residential,N,585,"289,518",495
93441,10,2013,Elec- Agricultural,Y,0,0,
93441,10,2013,Elec- Commercial,Y,0,0,
93441,10,2013,Elec- Residential,N,446,"317,969",713
93442,10,2013,Elec- Agricultural,Y,0,0,
93442,10,2013,Elec- Commercial,Y,712,"2,113,230","2,968"
93442,10,2013,Elec- Residential,N,"5,545","2,017,460",364
93444,10,2013,Elec- Agricultural,Y,0,0,
93444,10,2013,Elec- Commercial,Y,0,0,
93444,10,2013,Elec- Residential,N,"6,963","3,355,586",482
93445,10,2013,Elec- Agricultural,Y,0,0,
93445,10,2013,Elec- Commercial,Y,0,0,
93445,10,2013,Elec- Residential,N,"2,407","923,283",384
93446,10,2013,Elec- Agricultural,Y,0,0,
93446,10,2013,Elec- Commercial,Y,"2,251","14,484,680","6,435"
93446,10,2013,Elec- Industrial,Y,0,0,
93446,10,2013,Elec- Residential,N,"17,430","8,575,677",492
93449,10,2013,Elec- Agricultural,Y,0,0,
93449,10,2013,Elec- Commercial,N,447,"2,543,124","5,689"
93449,10,2013,Elec- Residential,N,"4,402","1,784,854",405
93450,10,2013,Elec- Agricultural,Y,0,0,
93450,10,2013,Elec- Commercial,Y,0,0,
93450,10,2013,Elec- Industrial,Y,0,0,
93450,10,2013,Elec- Residential,N,199,"95,456",480
93451,10,2013,Elec- Agricultural,Y,0,0,
93451,10,2013,Elec- Commercial,Y,0,0,
93451,10,2013,Elec- Residential,N,"1,343","771,148",574
93452,10,2013,Elec- Commercial,Y,0,0,
93452,10,2013,Elec- Residential,N,221,"57,183",259
93453,10,2013,Elec- Agricultural,Y,0,0,
93453,10,2013,Elec- Commercial,Y,0,0,
93453,10,2013,Elec- Residential,N,"1,134","609,438",537
93454,10,2013,Elec- Agricultural,Y,0,0,
93454,10,2013,Elec- Commercial,Y,"2,419","22,873,702","9,456"
93454,10,2013,Elec- Industrial,Y,0,0,
93454,10,2013,Elec- Residential,N,"10,480","4,341,620",414
93455,10,2013,Elec- Agricultural,Y,0,0,
93455,10,2013,Elec- Commercial,Y,0,0,
93455,10,2013,Elec- Industrial,Y,0,0,
93455,10,2013,Elec- Residential,N,"14,264","6,732,451",472
93458,10,2013,Elec- Agricultural,Y,0,0,
93458,10,2013,Elec- Commercial,Y,"1,276","5,689,248","4,459"
93458,10,2013,Elec- Industrial,Y,0,0,
93458,10,2013,Elec- Residential,N,"11,396","4,291,058",377
93460,10,2013,Elec- Agricultural,Y,362,"1,339,561","3,700"
93460,10,2013,Elec- Commercial,Y,0,0,
93460,10,2013,Elec- Industrial,Y,0,0,
93460,10,2013,Elec- Residential,Y,"1,955","1,618,275",828
93461,10,2013,Elec- Agricultural,Y,0,0,
93461,10,2013,Elec- Commercial,Y,0,0,
93461,10,2013,Elec- Residential,N,442,"233,265",528
93463,10,2013,Elec- Agricultural,Y,0,0,
93463,10,2013,Elec- Commercial,Y,"1,603","7,710,562","4,810"
93463,10,2013,Elec- Residential,Y,"2,976","1,732,271",582
93465,10,2013,Elec- Agricultural,Y,0,0,
93465,10,2013,Elec- Commercial,Y,0,0,
93465,10,2013,Elec- Residential,N,"3,374","1,993,729",591
93560,10,2013,Elec- Commercial,Y,0,0,
93561,10,2013,Elec- Commercial,Y,0,0,
93561,10,2013,Elec- Residential,Y,0,0,
93601,10,2013,Elec- Agricultural,Y,0,0,
93601,10,2013,Elec- Commercial,Y,0,0,
93601,10,2013,Elec- Residential,N,869,"544,997",627
93602,10,2013,Elec- Agricultural,Y,0,0,
93602,10,2013,Elec- Commercial,Y,339,"839,667","2,477"
93602,10,2013,Elec- Residential,N,"1,733","978,910",565
93603,10,2013,Elec- Agricultural,Y,0,0,
93603,10,2013,Elec- Commercial,Y,0,0,
93603,10,2013,Elec- Residential,N,215,"87,552",407
93604,10,2013,Elec- Commercial,Y,0,0,
93604,10,2013,Elec- Residential,N,"1,029","389,869",379
93606,10,2013,Elec- Residential,N,227,"103,753",457
93608,10,2013,Elec- Agricultural,Y,124,"6,772,965","54,621"
93608,10,2013,Elec- Commercial,N,41,"73,127","1,784"
93608,10,2013,Elec- Industrial,Y,0,0,
93608,10,2013,Elec- Residential,N,298,"134,681",452
93609,10,2013,Elec- Agricultural,Y,0,0,
93609,10,2013,Elec- Commercial,Y,0,0,
93609,10,2013,Elec- Residential,N,"1,406","954,576",679
93610,10,2013,Elec- Agricultural,N,320,"6,086,823","19,021"
93610,10,2013,Elec- Commercial,Y,555,"2,748,886","4,953"
93610,10,2013,Elec- Industrial,Y,0,0,
93610,10,2013,Elec- Residential,N,"5,344","3,050,607",571
93611,10,2013,Elec- Agricultural,Y,0,0,
93611,10,2013,Elec- Commercial,N,686,"6,470,628","9,432"
93611,10,2013,Elec- Industrial,Y,0,0,
93611,10,2013,Elec- Residential,N,"15,708","9,512,518",606
93612,10,2013,Elec- Agricultural,Y,0,0,
93612,10,2013,Elec- Commercial,N,"1,357","11,077,112","8,163"
93612,10,2013,Elec- Residential,N,"13,596","6,325,469",465
93614,10,2013,Elec- Agricultural,Y,0,0,
93614,10,2013,Elec- Commercial,Y,372,"1,644,063","4,420"
93614,10,2013,Elec- Industrial,Y,0,0,
93614,10,2013,Elec- Residential,N,"4,621","2,901,976",628
93615,10,2013,Elec- Agricultural,Y,0,0,
93615,10,2013,Elec- Commercial,Y,0,0,
93615,10,2013,Elec- Residential,N,"1,347","592,931",440
93616,10,2013,Elec- Agricultural,Y,0,0,
93616,10,2013,Elec- Commercial,Y,0,0,
93616,10,2013,Elec- Industrial,Y,0,0,
93616,10,2013,Elec- Residential,N,613,"365,835",597
93618,10,2013,Elec- Agricultural,Y,0,0,
93618,10,2013,Elec- Commercial,Y,"1,015","6,768,926","6,669"
93618,10,2013,Elec- Industrial,Y,0,0,
93618,10,2013,Elec- Residential,N,"7,803","3,938,239",505
93619,10,2013,Elec- Agricultural,Y,142,"162,464","1,144"
93619,10,2013,Elec- Commercial,Y,230,"1,494,879","6,499"
93619,10,2013,Elec- Industrial,Y,0,0,
93619,10,2013,Elec- Residential,N,"10,369","7,326,975",707
93620,10,2013,Elec- Agricultural,Y,0,0,
93620,10,2013,Elec- Commercial,Y,289,"651,750","2,255"
93620,10,2013,Elec- Residential,N,"2,879","1,623,414",564
93621,10,2013,Elec- Agricultural,Y,0,0,
93621,10,2013,Elec- Commercial,Y,0,0,
93621,10,2013,Elec- Residential,N,231,"136,135",589
93622,10,2013,Elec- Agricultural,Y,311,"9,323,479","29,979"
93622,10,2013,Elec- Commercial,N,271,"826,668","3,050"
93622,10,2013,Elec- Industrial,Y,0,0,
93622,10,2013,Elec- Residential,N,"2,453","1,104,588",450
93623,10,2013,Elec- Agricultural,Y,0,0,
93623,10,2013,Elec- Commercial,Y,0,0,
93623,10,2013,Elec- Residential,N,193,"54,241",281
93624,10,2013,Elec- Residential,N,212,"124,458",587
93625,10,2013,Elec- Agricultural,Y,0,0,
93625,10,2013,Elec- Commercial,N,213,"1,017,155","4,775"
93625,10,2013,Elec- Residential,N,"2,261","1,210,839",536
93626,10,2013,Elec- Agricultural,Y,0,0,
93626,10,2013,Elec- Commercial,Y,0,0,
93626,10,2013,Elec- Industrial,Y,0,0,
93626,10,2013,Elec- Residential,N,574,"404,495",705
93627,10,2013,Elec- Agricultural,Y,0,0,
93627,10,2013,Elec- Commercial,Y,0,0,
93627,10,2013,Elec- Industrial,Y,0,0,
93627,10,2013,Elec- Residential,Y,0,0,
93628,10,2013,Elec- Agricultural,Y,0,0,
93628,10,2013,Elec- Commercial,Y,0,0,
