ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,4,2018,Elec- Agricultural,Y,0,0,
93117,5,2018,Elec- Agricultural,Y,0,0,
93117,6,2018,Elec- Agricultural,Y,0,0,
93202,5,2018,Elec- Agricultural,Y,0,0,
93202,6,2018,Elec- Agricultural,Y,0,0,
93203,4,2018,Elec- Agricultural,Y,159,"9,242,526","58,129"
93203,5,2018,Elec- Agricultural,Y,158,"13,100,535","82,915"
93203,6,2018,Elec- Agricultural,Y,158,"15,021,289","95,071"
93204,4,2018,Elec- Agricultural,Y,0,0,
93204,5,2018,Elec- Agricultural,Y,0,0,
93204,6,2018,Elec- Agricultural,Y,0,0,
93206,4,2018,Elec- Agricultural,Y,0,0,
93206,5,2018,Elec- Agricultural,Y,0,0,
93206,6,2018,Elec- Agricultural,N,124,"12,985,208","104,719"
93210,4,2018,Elec- Agricultural,N,97,"4,042,885","41,679"
93210,5,2018,Elec- Agricultural,N,98,"6,944,152","70,859"
93210,6,2018,Elec- Agricultural,N,98,"8,023,854","81,876"
93212,4,2018,Elec- Agricultural,Y,0,0,
93212,5,2018,Elec- Agricultural,Y,0,0,
93212,6,2018,Elec- Agricultural,Y,0,0,
93215,4,2018,Elec- Agricultural,Y,0,0,
93215,5,2018,Elec- Agricultural,Y,0,0,
93215,6,2018,Elec- Agricultural,Y,0,0,
93219,4,2018,Elec- Agricultural,Y,0,0,
93219,5,2018,Elec- Agricultural,Y,0,0,
93219,6,2018,Elec- Agricultural,Y,0,0,
93225,4,2018,Elec- Agricultural,Y,0,0,
93225,5,2018,Elec- Agricultural,Y,0,0,
93225,6,2018,Elec- Agricultural,Y,0,0,
93230,4,2018,Elec- Agricultural,Y,0,0,
93230,5,2018,Elec- Agricultural,Y,720,"42,158,645","58,554"
93230,6,2018,Elec- Agricultural,Y,721,"48,386,339","67,110"
93234,4,2018,Elec- Agricultural,Y,0,0,
